,img_pos,texts
496,2481,"['A room with some chairs and a bookshelf.', 'A room with a brick wall and several chairs around a black coffee table.', 'A couple of chairs in a small room.', 'A sitting area with a brick wall behind it around a coffee table.', 'There are chairs and a shelf in a living room.']"
497,2486,"['a woman and a kid playing with some wii motes', 'Woman and boy standing playing a video game in front of them.', 'a woman and kid playing a game on the wii', 'Woman and boy playing video game near group of people sitting on folding chairs.', 'A mother and child holding remotes playing a video game.']"
498,2491,"['Woman standing in living room using video game controls.', 'A woman standing in her living room playing Wii.', 'There is a woman that is ayi g with the wii in her room', 'A woman standing next to a couch holding a Wii controller.', 'Young woman playing WII in a furnished living room.']"
499,2496,"['three boys are enjoying a video game at home', 'three asian friends are playing games on the wii', 'Three young men are playing a video game.', 'A group of people play video games with controllers.', 'Three young guys are playing the Wii together. ']"
500,2501,"['A women smiling really big while holding a Wii remote.', 'A woman makes a face as she plays a video game.', 'A young woman smiling holding a video game remote', 'A WOMAN HOLDING A REMOTE IN HER HANDS.', 'A girl is showing a goofy smile while holding a video game remote.']"
501,2506,"['A few bags laying around in a living room.', 'A living room with a couch, two tables and a painting. ', 'a living room with a couch and a bottle of wine', 'a white couch a brown table with a bottle and glass', 'Black bags sitting on top of a white couch in a living room. ']"
502,2511,"['A silver computer mouse on a table next to a keyboard.', 'A computer mouse is sitting next to a key board.', 'An aerodynamic shaped computer mouse with a flash reflection in it.', 'A computer mouse sitting next to a keyboard.', 'A black computer mouse sitting next to a keyboard']"
503,2516,"['A man sitting at a table holding a baby.', 'a man wearing a black jacket is holding a child and a cellphone', 'A man using his phone while a little girl sleeps on his shoulder. ', 'A man holding a child and a cell phone at a coffee shop.', 'A man holding an infant while checking his cell phone.']"
504,2521,"['A clock is shown with gold detailing around it.', 'Large ornamental gold and blue clock on the side of a building. ', 'An beautifully designed clock tower with gold and blue. ', 'An ornate clock on the side of a building next to a tree.', 'An ornate clock on a building with tree branches.']"
505,2526,"['A couple of men standing next to each other.', 'A baseball player grabbing a bat, in a game.', 'a boy reaching for a baseball bat in a dugout.', 'Baseball players taking baseball bats from a wall.', 'A boy with catchers gear on looking at some baseball bats.']"
506,2531,"['A baseball game with a hitter at home plate in a swinging motion and people in the stands above the dugout area.', 'A player swings his bat during a baseball game.', 'A baseball player holding a bat near home plate.', 'The catcher, umpire, and batter watch the ball that is flying away. ', 'a man holding up a baseball bat during a baseball game ']"
507,2536,"['A brick oven with logs and a uncooked pizza next to it.', 'There is a stone oven pizza near the fire place', 'a big fireplace with logs burning in it', 'A closeup of the inside of an oven with pizza in it', 'A pizza is cooking in a wood-burning oven.']"
508,2541,"['a close up of two cups on a table ', 'Two coffee mugs sit with flower vase in the middle. ', 'A single rose in vase, sits between twin stylized mugs', 'a red rose is sitting next to a couple of mugs', 'Two coffee mugs on a table next to a single rose in a vase. ']"
509,2546,"['Large four sided clock hangs on the corner of the building.', 'A clock suspended on the outside of a brown stone building.', 'a building with a large clock on the outside.', 'A clock attached to a brick building. ', 'A clock fastened to a brick store front reads 10 after 10']"
510,2551,"['A small computer screen opened in the room. ', 'a hand holding a mini computer and a mouse', 'A laptop sitting on a desk with someone touching the bottom of it.', 'There is a hand holding a laptop next to a mouse.', 'A computer mouse sitting next to a  laptop computer.']"
511,2556,"['A laptop computer sitting on top of a white desk.', 'A black laptop at a desk with a printer.', 'A laptop computer is displaying a screen with words.', 'A laptop seems to have the infamous ""blue screen of death"" on the desk. ', 'A computer sits on a desk by a printer.']"
512,2561,"['A teddy bear is positioned to read a text book.', 'A teddy bear sits in a chair with an open book.', 'Teddy bear comically reading textbook on kitchen table.', 'Teddy bear in a chair with a book opened up in front of it.', 'A brown teddy bear sitting in front of an open book.']"
513,2566,"['A moped police officer travels on a roadway.', 'A policeman rides on a motorbike in the street.', 'A policeman on a motorcycle driving through a village.', 'A man with a ""police"" shirt rides a moped while on a phone.', 'A man in a police uniform riding a motorcycle.']"
514,2571,"['A group of three microwaves sitting on a counter top.', 'Three microwave ovens placed next to each other on a countertop.', 'Three microwave ovens in a row with two trivets and a bowl.', 'THREE DIFFERENT TYPES OF MICROWAVES WITH TURNTABLES ON TOP', 'There are three microwaves standing in a line.']"
515,2576,"['A man appears to be making something in his kitchen. ', 'a person in the kitchen using a mixer in a cup', 'A woman near a messy kitchen counter holds a hand blender into a green drink.', 'A picture of a person cooking some food.', 'a man using a hand blender in a kitchen']"
516,2581,"['A glass and vase sit on a table overlooking the ocean.', 'a glass of beer sitting on a table next to a vase ', 'Flowers inside a glass vase beside a beverage on a table.', 'A glass of beer is sitting next to a vase full of flowers.', 'a table that has a vase with a flower in it']"
517,2586,"['A metal cup filled with scissors and two ladels.', 'Scissors and other utensils in a cup sitting on a desk. ', 'Metal jar holding scissors, ladles, and tongs on a counter.', 'A silver cup is holding scissors and tongs.', 'A collection of kitchen utensils in a metal bowl.']"
518,2591,"['A clock with the word ""Frisco"" written on top. ', 'A pole with a clock on top on a sidewalk', 'A Frisco clock that currently reads 2:25. ', 'A large face clock on a post on the street.', 'A clock on a street post with a name above it.  ']"
519,2596,"['A tall white clock tower inside of a tall building.', 'Steeple and clock of on the face of a building.', 'A black and white photo of a building with a clock on it.', 'A decorated building with a clock within a dome near the top.', 'Large marble looking building with a steeple top.']"
520,2601,"['A vase filled with flowers next to a smaller vase filled with even more flowers.', 'Two vases filled with flowers on a table.', 'Two vases of fresh flowers sit on top of the table.', 'a small vase and a large vase of flowers on a table', 'A wooden table holding two vases of flowers.']"
521,2606,"['A vase of floral decorations sits in front of a tin and a picture on the wall.', 'A very unique looking flower vase with fake flowers. ', 'a colorful vase with colorful plants inside of it', 'The vase holds a flower arrangement in front of a picture on the wall.', 'A set of werid flowers in a vase.']"
522,2611,"['A very big pretty green vase with some flowers.', 'A dying and wilting plant in a vase with a photo', 'a vase with some dead vegetation inside of it ', 'a table with a vase with many flowers', 'A beautiful vase full of flowers and pictures next to it. ']"
523,2616,"[""A woman's hand holding a glass of wine."", 'A person holds up a champagne glass to make a toast.', 'This person is holding a whine glass with a drink in it.', 'A woman holding up a glass of liquid.', 'A person holds up their champagne glass for a toast.']"
524,2621,"['There is a table with chairs and a stove in the room. ', 'A table sitting in a kitchen surrounded by white chairs.', 'a brightly lit kitchen with the stove, cabinets, and kitchen table', 'The kitchen is clean and ready to be used.', 'The view of a kitchen from across the room.']"
525,2626,"[' A tall woman is standing in a small kitchen', 'A girl is standing in a kitchen with a mug in her hands.', 'Woman in knitted jump pants and yellow sleeveless top, in kitchen scene with matching yellow tone area.', 'a woman standing in a kitchen near a refrigerator and a stove', 'A woman with pigtails is standing in a kitchen.']"
526,2631,"['A cat sitting outside on some cobble stone.', 'Cat staring at something while sitting on porch.  ', 'A cat looking to its left while sitting on a sidewalk.', 'A tan cat sitting on a stone patio', 'a cat standing around on some bricks outside.']"
527,2636,"['A small black cat sitting on the ground.', 'A small clack cat sitting in  a white bathtub', 'The top of a black cat sitting down. ', 'A black cat sits in a cream tub.', 'a black cat sitting in a white bathtube looking down']"
528,2641,"['A bathroom is very colorful with blue yellow and red.', 'A colorful public restroom with striped walls and yellow counter.', 'a bathroom with two sinks near towel and soap dispensers ', 'A restroom with two sinks and a red colored stall.', 'A colorful public restroom focused on the sinks.']"
529,2646,"['A couple of toilets sitting in a  bathroom.', 'The corner of a bathroom with colorful tile floors and a very low sink.', 'there is a white toilet and a white urinal in this bathroom', 'The colorful tile is underneath the toilet and sink.', 'A bathroom with colorful floor tiles, a toilet, and a sink. ']"
530,2651,"['A stop sign that looks likes it made of crinkled paper.', 'a close up of a vandalized stop sign ', ' An old stop sign with cracked paint on a street corner', 'A car parked by a stop sign with cracked paint.', 'a stop sign with the red color looking all cracked ']"
531,2656,"['a close up of a toilet and a bath tub with toys', 'A small bathroom, with a commode, and a bathtub with bath toys in and around it.', 'A cup sits on the edge of a white tub in a bathroom.', ""Bathroom tub with children's toys and books on floor and tub."", 'A bathroom with toys and books for young children.  ']"
532,2661,"['A cat climbing into a bathroom sink looking at someone', 'A cat looks up as it stands in the bathroom sink.', 'A large cat stands inside of a clean bathroom sink.', 'Cat is caught stepping in to the bathroom sink', 'a cute kitty cat in the sink of a bathroom near a brush and other items']"
533,2666,"['A mounted police officer riding down a city street past parked cars.', 'A gentleman riding a horse down a city street.', 'A man rides a horse down a city street.', 'Man riding white horse in the street while others watch.', 'A man on a horse walking down the middle of a street.']"
534,2671,"['there is a white toilet and tile floors in the bathroom ', 'a very clean toilet with black and white tiles ', 'An open white toilet against a wall of white tiles and a black and white floor.', 'a white toilet in a bathroom with a checkers floor', 'A white toilet that has its seat up.']"
535,2676,"['A person that is driving on the street.', 'THERE IS A MNA RIDING A MOTORCYCLE DOWN THE STREET', 'a close up of a person riding a motorcycle on a long empty road', 'A photo taken from the back of a motorcycle cruising down the road.', 'A motorcyclist surveys the sunlit road into the horizon.']"
536,2681,"['A group of bikers sitting out in front of a store near a street.', 'Street view of a group of bikers and their motorcycles.', 'Several motorcycles parked on a street near a restaurant. ', 'A group of motorcycles and a crowd of people on a small town street.', 'A group of motorcycles and people are parked out on the street in front of a pizza restaurant.']"
537,2686,"['Bright room with a couch and various different dressers.', 'A room filled with furniture with hard wood floors.', 'A couch, a mirror and some cabinets in an open room.', 'A couch and mirror in a small room.', 'A living room has a couch, decorations, and some tables.']"
538,2691,"['Two birds preparing to eat food off of a plate that was left on a table outside by the ocean.', 'A plate topped with bread, greens and pasta and a bird.', 'there are two birds standing on the plate of food', 'A bird attempting to bite a piece of sandwich bread.', 'This is two birds pecking at the remnants of a burger at an outdoor restaurant.']"
539,2696,"['cars that are stopped at a traffic light', 'a traffic light on the road with many vehicle', 'A busy street with many cars, buildings and stop light.', 'a big street with houses all around it', 'A red light over a city street in a neighborhood.']"
540,2701,"['A city with many people waiting for a train.', 'People standing in a long line at a train station.', 'A line of people stand against a fence by tracks.', 'many people standing on one side of a train track', 'A intersection crossed by train tracks is crowded with people. ']"
541,2706,"['A one way sign that is on a pole.', 'A black and white picture of a traffic signal in a city.', 'A black and white image of some buildings and a street light.', 'Intersection with traffic signals in large metropolitan area.', 'Traffic lights in front of large buildings with a one way sign.']"
542,2711,"['a young boy is feeding a large giraffe', 'From his hand, a young boy feeds a giraffe.', 'A giraffe is eating out of a kids hand.', 'a close up of a person feeding a giraffe ', 'A child feeding a giraffe from the palm of his hand.']"
543,2716,"['A large herd of sheep are walking behind a wire fence.', 'Several sheep are foraging in an open field.', 'a herd of sheep behind a fence with one looking at the camera ', 'There are sheep standing in the grass near a fence.', 'A metal wire fence confining sheep inside a grassy meadow.']"
544,2721,"[""A giraffe stands with several birds resting on it's neck. "", 'A giraffe that has some birds perched on it.', 'this is a close up picture of a giraffe that is standing', 'A giraffe with a couple birds holding onto his neck. ', ""Several birds perched on a giraffe's neck eating bugs.""]"
545,2726,"['A couple of captive giraffes look around the ground in the zoo. ', 'Two giraffes stand in a field and lower their necks.', 'Two giraffes standing in front of each other.', 'Two giraffe snuggling next to each other next to trees.', 'Two giraffe standing in the grass with necks bent looking down.']"
546,2731,"['A bike attached to the front of a blue bus.', 'A couple of bikes riding on the front of a bus.', 'A bus that has bikes mounted on the front of it.', 'A public bus with bike racks on the front', 'a bus that has some bikes on the outside of it']"
547,2736,"['A wooden bench on a fence and plants surrounding it', 'A walled garden has a bench and a fountain.', 'Bench in a garden surrounded by vines and flowers. ', 'A wooden bench sitting in front of a brick wall surrounded by flowers.', 'A wooden bench nestled by a fountain on a vine covered wall in a garden']"
548,2741,"['A red fire hydrant on a city sidewalk.', 'A diminutive fire hydrant rising though a suburban sidewalk.', 'A red fire hydrant embedded in a city sidewalk.', 'The red and white fire hydrant is embedded in the street.', 'A red fire hydrant is on the sidewalk next to a sign.']"
549,2746,"['A bird standing on the shore of the beach', 'A lone bird sitting on top of a wet beach next to the ocean.', 'A lone small bird stands on the beach during sunset.', 'A seagull standing on a beach with a dwindling tide', 'A single seagull standing on the coast with waves in the background.']"
550,2751,"[""A train traveling past a factory with tons of smoke pouring out of it's stacks."", 'Two trains moves past a factory emitting smoke.', 'an image of a smoke filled building with a train passing', 'A factory near a train track letting out smoke.', 'A building at a railroad crossing billows smoke.']"
551,2756,"['People are waiting for the train to arrive', 'People standing at a train station as a train is approaching.', 'some people on a platform and a silver train ', 'Train coming in to a station at the edge of a large city', 'People standing on the pavement waiting for the approaching train.']"
552,2761,"['a pink hat and a cellphone on some weaved basket', 'A cell phone next to a knitted cell phone cover.', 'A small pink beanie hat next to a cell phone.', 'A pink winter hat sits next to a cellphone.', 'A cell phone sitting next to a pink ski hat.']"
553,2766,"['A yellow train traveling down tracks next to a lush green field.', 'A yellow train with a flag on it riding down train tracks. ', 'A large yellow train moving down a track.', 'Yellow-orange pecial purpose train engine with American flag painted in the side.', 'A yellow type of train is sitting on train tracks.']"
554,2771,"['A traffic sign sitting on the side of a road.', 'A yellow sign that is sitting on a sidewalk.', 'A street sign is standing on the corner of the street.', 'The road of an area with brick side walks and wide roads.', 'A yellow warning sign on a street pole.']"
555,2776,"['A house with a large hole in the side of it.', 'A maroon vehicle stops at the stop sign. ', 'A minivan at a stop sign in front of a broken house.', 'A red SUV sits across the street from a damaged house.', 'A dark red minivan is stopped at the stop sign by the corner of two quiet streets in town.']"
556,2781,"['A red stop sign sitting above a four way sign.', 'Four way stop sign at street intersection and two street signs above', 'a stop sign on the side walk of a street', 'A four-way stop sign is at the corner of Delta and Bridge Street.', 'A four way stop sign in a nonresidential area.']"
557,2786,"['A young boy standing next to a  yellow bike.', 'A young boy eats something in front of a bike', 'A small boy standing next to a bike and a parking meter.', 'A young boy standing by a bicycle leaning on a parking meter ', 'A boy stands beside a bicycle parked by a parking meter.']"
558,2791,"['A number of tourists atop two colorful trucks.', 'a truck with a bunch of people in back of it', 'The people in the truck are riding in the parade.', 'People standing in the back of trucks while going down a street in a parade', 'Several people are standing in the flatbed of a truck during a parade.']"
559,2796,"['A red truck parked on top of a dirty ground.', 'A dusty old pick up truck sits on a cliff by the sea', 'A four door Nissan pickup parked near the water with equipment on the roof and in the bed.', 'A truck parked in the dirt near a fence.', ""A truck with it's door open parked at the waters edge.""]"
560,2801,"['A dog sitting on the grass looking at a fake cow that is lit up at night.', 'A dog looking at a statue of a cow.', 'A dog sitting in the grass watching a cow', 'A black and white cow is looking through a fence.', 'A dog faces a light up cow ornament.']"
561,2806,"['A hairy brown cow laying on top of a field.', 'A highland cow lies in the grass in the sun next to a large group of goats. ', 'A ram animal with horns is laying in the very green grass.', 'A shaggy, brown, long horned bull lays in the grass.', 'A long horn cow resting in the grass.']"
562,2811,"['A dump truck parked by the side of a road. ', 'A white Mack truck parked beside the road.  ', 'a truck parked on the side on a road', 'A dump truck is parked on the side of a road.', 'A large dump truck at a construction site ']"
563,2816,"['A construction truck parked near a storage shed.', 'A dump truck sitting by a barn surrounded by overgrowth.', 'An old dump truck sitting with grass growing around it.', 'A dump truck that is parked on some grass.', 'a parked truck sits next to a shed ']"
564,2821,"['Cat lethargically on comfy computer chair looking relaxed.', 'A cat sitting on top of a black leather chair.', 'a cat sitting in an office chair. ', 'A cat that is laying down on a chair.', 'The sat is sitting in the computer chair. ']"
565,2826,"['A huge dump truck is fenced in in front of a neighborhood.', 'a yellow dump truck in a fenced in area', 'a very large dump truck on display surrounded by a fence', 'A construction truck is surrounded by a fence.', 'A large dump truck surrounded by a fence.']"
566,2831,"['A person and a black cat are on a brown couch with a colorful blanket.', 'A person laying on a couch with a cat laying in their arms, covering part of the face.', 'A woman is holding a cat while she lays on a couch.', ""Girl holding cat on couch while cat's eyes are closed"", 'A woman on a couch with a cat.']"
567,2836,"['A cow standing on a mount of rock filled dirt next to a  lush green field.', 'Some cows standing in an open outside area', 'A cow standing next to a body of water. ', 'Several cows graze in the countryside as nightfall nears.', 'A herd of scattered cattle graze through a large field.']"
568,2841,"['a blue and silver truck with logs trees and wires', 'A truck is carrying some huge tree trunks.', 'A large blue truck hauling many long logs.', 'A large truck has large logs on its bed. ', 'A large truck is stacked with cut wooden logs.']"
569,2846,"['Several cows stick their heads out of a pen to feed. ', 'Cows are being feed hay while being put in cages', 'a number of cows in cages eating hay on the ground', 'A herd of cattle grazing on hay inside of a pen.', 'Cows strain their necks for hay in between posts of a fence.']"
570,2851,"['A bunch of cows walking on the side of the road', 'a big heard of cows walking down a road in a row with green tags on their ears', 'Many cows travel down the side of a street', 'A herd of cattle walking down a country road.', 'A herd of cattle walking down a road being followed by a cowboy.']"
571,2856,"['A woman holding a child and standing near a bull.', 'A lady holding a small child near a big animal with horns.', 'A woman holding a baby near a long horn steer.', 'A woman holding a baby is looking at a bull.', 'A woman holding a child looking at a cow.']"
572,2861,"['A dirty dog holds a stick in its mouth in the winter.', 'A brown dog with a stick in its mouth.', 'A dog holds a branch in its mouth on a snowy path.', 'A dog standing in the snow with a stick in its mouth.', 'a little dog holding sticks in its mouth.']"
573,2866,"['Two men walk down the street in a city.', 'a couple of people walk next to some trees ', 'Two young men walking through a small park at night.', 'Two men wearing back packs walking through a park in the city.', 'Two young men walking in a park, one is wearing a backpack.']"
574,2871,"['an elephant standing alone on a cement floor behind a wired fence.', 'An elephant standing in an enclosed metal cage.', ""There's an elephant standing with his trunk in his mouth."", 'AN ELEPHANT KEPT IN  A YARD AT SOME PLACE.', 'An elephant behind a wired fence inside a building.']"
575,2876,"['A group of people stare at a group of elephants.', 'People are walking near five adult elephants with head dresses. ', 'Onlooker on sidewalk watching group of elephants in city setting.', 'A group of people standing around a line of elephants.', 'The circus elephants are in town before the big show. ']"
576,2881,"['A LOT OF PEOPLE ARE RIDING ON THE ELEPHANT ', 'Two elephants on the grass with people riding on them.', 'People are riding on elephants as other people are standing on a raised platform.', 'Several groups of people ride elephants on an elephant track.', 'A group of people riding on the back of an elephant.']"
577,2886,"['two different bears fight with each other behind a log', 'Two bears in the water with their mouths open growling at each other.', 'Two brown bears interacting in a rocky area.', 'two bears playing together while swimming near a log.', 'Two brown bears growling at each other while laying on a log.']"
578,2891,"['Some are standing outside a building with suitcases.', 'A few people are getting of a plane.', 'A group of people and luggage on a airport tarmac.', 'Some people who are placing luggage on a runway.', 'An airport and plane unloading passengers with luggage.']"
579,2896,"['A large white polar bear walking across a dirt and gravel ground.', 'A polar bear is walking around in the zoo.', 'A polar bear walking on some rocky ground.', 'A fat polar bear walking along the rocks', 'A polar bear walking in a zoo enclosure.']"
580,2901,"['A polar bear stands over an orange disc in his enclosure. ', 'A polar bear standing behind a bright orange object.', 'A polar bear looks toward the camera in front of his orange disc toy. ', 'a polar bear standing on a cement floor next to an orange plate and an enclosed body of water.', 'a polar bear standing next to an orange disc']"
581,2906,"['two dogs laying down on a brown couch', 'there are two large dogs sleeping on the couch', 'a couple of dogs are laying on a coach', 'Two black dogs on a couch sleeping peacefully.', 'Two dogs are lying on the brown couch. ']"
582,2911,"['Two dogs lay next to each other on a brown couch.', 'Two large dogs sleeping on a large couch.  ', 'Two dogs are laying on a couch ', 'Two dogs sit on top of a couch. ', 'A close up of two dogs sleeping on a couch.']"
583,2916,"['A group of guys in a field holding discs.', 'A group of men holding neon frisbees on a field.', 'a group of people standing around a cage while holding frisbees', 'A group of men with Frisbees pose for the camera.', ""a Frisbee team dessed in black holding their Freebee's   ""]"
584,2921,"['A woman bathing her dog in the sink', 'A woman is giving her dog a bath.', 'A puppy being given a bath in the sink by a young woman.', 'Lady enjoying bathing a dog in a small blue basin in a bathroom or kitchen.', 'Girl washing a dog who is sitting in a bucketful of water in a sink.']"
585,2926,"['A dog is laying in a chair in front of a book shelf. ', 'An old dog lying in front of a bookcase.', 'A large black dog laying next to a book shelf filled with books.', 'A dog is lying on a cushion on a table.', 'a black dog is resting on a brown cushion']"
586,2931,"['A white horse looking through the window of a tall brick building. ', 'A brick building has a horse in the window.', 'A white horse can be seen in the window of a brick building. ', 'what looks like a white horse standing behind a second floor window ', 'A view of a horse staring out a building window.']"
587,2936,"['a small zebra on dirt ground near a tree', 'A single zebra that is standing in an enclosure.', 'A single zebra standing in a dirt field.', 'A stripped animal is standing near a rock and a tree.', 'A zebra is in a zoo habitat. ']"
588,2941,"['A llama looks at the camera from a fenced in, grassy area.', 'A camel and two horses in a farm enclosure. ', 'The emu is sitting in the dirt near a metal fence. ', 'Open range with cattle grazing and mountains in back drop.', 'Animals are grazing in a fenced in field.']"
589,2946,"['A group of people skiing down the side of a snow covered mountain.', 'Many skiers are walking and skiing around the snow.', 'A group of people with skis at the bottom of a mountain slope.', 'People are skiing on the snowy slopes in a designated area.', 'A bunch of people skiing at a lodge right in the mountains.']"
590,2951,"['Bananas sitting on top of apples, pears, and other fruits.', 'A large plate topped with lots of fresh fruit.', 'A platter full of bananas, apples, oranges, peaches, pears and limes.', 'there is a large platter of fruit on the table', 'A tray heaped with fruit including banans apples oranges and limes.']"
591,2956,"['A man captured in every aspect of delivering a baseball from a mound.', 'a digitally manipulated picture with multiple images of a baseball pitcher ', 'A time lapse image of a guy throwing a baseball.', ""Time lapse photography shows the different stages in a pitcher's throw."", 'A unique shot of the same baseball player, fixing to throw his pitch. ']"
592,2961,"['Bunches of bananas for sale at an outdoor market', 'There are many bananas layer across this table at a farmers market', 'intricately displayed bananas at an outside farmers market', 'A person at a table filled with bananas.', 'A table of displayed bananas at a street market.']"
593,2966,"['The bushels of bananas on display are purple.', 'some purple bananas sitting between apples and some squash', 'some purple bananas and other fruits are together', 'A pile of black bananas and other fruit ', 'Assorted fruit on display at a fruit market.']"
594,2971,"['Fans observing a baseball game in process. ', 'a base runner rests with his hands on his hips as the catcher makes his way back toward the plate from the infield.', 'A baseball player at third plate and a catcher walking back to home base.', 'A team of baseball players playing a game of baseball.', 'Members of opposing baseball teams are on a baseball field as the spectators sit in the grandstand.']"
595,2976,"['a person standing snow wearing a snow suit and skis', 'The skier is on the flat   with front ski edges together and holding ski poles.', 'A person in a black snow suit on a pair of skis in the snow. ', 'A man dressed in black snow gear stands on skis in the snow.', 'a person riding skis on a snowy surface ']"
596,2981,"['An unfrosted cake in a metal pan with green spots on top.', 'A baked loaf of bread is shown still in the pan.', 'Some type of corn bread in a baking pan.', 'A large, cake with no icing has some green accents and sits inside a grey pan.', 'A loaf of bread with something green baked in.']"
597,2986,"['These broccoli are bright green and laying before dark green broccoli.', 'Closeup of pieces of broccoli on a cutting board.', 'This is some light green and dark green flowery veg', 'A cutting board with several heads of broccoli', 'A pile of green vegetables on top of a counter.']"
598,2991,"['A bowl of broccoli with sauce over it.', 'This is a broccoli carrot soup with a lot of broth.', 'A bowl holds soup with broccoli and other vegetables. ', 'The bowl of soup contains a large amount of broccoli.', 'A bowl with broccoli and carrot soup on a table.']"
599,2996,"['A skier in green pants heading down the slope', 'a man wearing bright green pants and black coat skiing ', 'a person turning while skiing down a snowy hill', 'A man riding skis down a snow covered slope.', 'A person on skis going down a snow covered hill.']"
600,3001,"['A pot full of beef and broccoli stew. ', 'A broccoli and beef dish with baby corn.', 'A pot of food contains meats and vegetables', 'Soup with broccoli  and meat cooking on a stove.', 'Broccoli and meat in a large pot that is ready for serving. ']"
601,3006,"['Nordic skier, in full gear, making his way on a wind blown day.', 'A person that is skiing down a path surrounded by trees.', 'A person in red jacket skiing down a hill between trees.', 'a person riding skis on a snowy surface', 'A skier in a red jacket is near a thicket of trees in the snow.']"
602,3011,"['A pile of vegetables on a green crate that is sitting on bed.', 'A bunch of vegetables on top of a bin.', 'A wide variety of vegetables resting on a plastic bin.', 'A bowl of onions, green beans, and other vegetables,.', 'A plastic bin that has various vegetables in it.']"
603,3016,"['A man walking down a street next to a road filled with cars.', 'Man riding a skate board towards the traffic on a two lane roadway.', 'a road filled with cars in a desert', 'View from inside of a car of cars on road and a man on the side of the road.', 'A photo taken from a car looking at a skateboarder on the side of the road.']"
604,3021,"['A person on a snowboard in the snow.', 'A man riding a snowboard into the air over a ramp.', 'a person in ski gear skiing on the snow', 'A person with a snowboard is jumping over an obstacle.', 'A person stands on a snowboard on a slope. ']"
605,3026,"['A man riding a snow board on top of a snow covered slope.', 'A snowboarder sits in the snow at the top of a mountain.', 'A person with a snowboard, sitting in the snow.', 'A person is sitting in the snow on a snowboard near a ski lift.', 'A person wearing a snow board sitting in the snow.']"
606,3031,"['A hot dog is on a plate with macaroni and cheese.', 'Fork, spoon and knife surround a plate of picnic food.', 'A plate of some food on a table.', 'a plate with a hot dog in a bun, macaroni and cheese and stuffing on it', 'Traditional American comfort food arranged on a plate']"
607,3036,"['a hot dog in a bun covered with mustard sitting in a small container', 'A very tasty looking hot dog with mustard on it.', 'A closeup shot of a hotdog with a small cup of ketchup', 'A hot dog with mustard and a bun next to a ketchup cup.', 'A hotdog with mustard and a container of catsup in the background']"
608,3041,"['A tray of black and white sprinkled doughnuts ', 'Black and white photo of two layers of sprinkled donuts', 'A tray with eighteen sprinkled vanilla and chocolate doughnuts.', 'A bunch of different types of donuts on a tray.', 'Black and white donuts with sprinkles are stacked on a rack. ']"
609,3046,"['A hand is lifting up the top bread of a sub sandwich.', 'A sandwich has lettuce, tomato, as well as other items.', 'There is a bacon, lettuce and tomato sandwich.', 'a person that is reaching for a sandwich', 'A sandwich with lettuce and tomatoes on a table.']"
610,3051,"['The basketball players are playing in a game', 'Two basketball players reach up for the hoop.', 'A number of basketball players engaged in competitive play.', 'Two basketball players jump to the hoop to block another from scoring.', 'A group of basket ball players jumping into the air.']"
611,3056,"['A person on a surfboard in the water.', 'People standing by an inlet from the ocean while others are walking it with surf boards.', 'A couple of guys are on their surf boards in the water. ', 'People surfing in a body of water while groups of people waiting and looking on.', 'A couple of people wading through a river neat to a beach.']"
612,3061,"['a sandwich in a plastic food basket on a table', 'Sandwich and a lollipop in a bright orange serving tray sitting on a table.', 'Two plastic baskets filled with food sitting on top of a table.', 'On the table are a sandwich and a sucker.', 'A sandwich sitting in a red basket cut in half']"
613,3066,"['Bride and grooms arms cutting the wedding cake with fruit on top.', 'A couple cuts into a wedding cake with grapes and oranges. ', 'Two hands cut into a cake with fruit on top of it. ', 'A bridge and groom cutting their wedding cake that has fruit on top.', 'a person that is cutting a cake on a tasble']"
614,3071,"['A bearded middle aged man cuddling a teddy bear.', 'A bearded man laying in bed while holding a blue teddy bear.', 'A bearded man holds a blue teddy bear by his face.', 'A bearded shirtless man cuddling with a teddy bear.', 'A man is lying down and holding a stuffed blue teddy bear.\n']"
615,3076,"['A group of men standing on top of a sandy beach.', 'The beachgoers are curious about what is in the water.', 'Men with hockey sticks and a surfboard play on a beach.', 'A group of paddle boarders watch the beach. ', 'These wake boarders are watching the waves from the shore']"
616,3081,"['A man and woman standing in front of a cake.', 'a newly wed couple celebrating with a toast', 'A bride and groom celebrate over a cake.', 'A bride and groom are celebrating with wedding cake.', 'A man and a woman standing next to each other.']"
617,3086,"['Two young boys sitting on a park with a plate of food.', 'Two children sit on the ground at a park.', 'Two young boys in shorts at park with hands raised.', 'Two children sitting in the grass eating food', 'A boy with his hands up sitting next to another boy with pizza and a drink sitting in the grass.']"
618,3091,"['A pan filled with mini pizzas in an oven.', 'A tray that has several small mini pizzas on it', 'A bunch of mini pizzas on a tray.', 'Mini pizzas on shelves waiting to be bake.', 'Many very small pizzas have been prepared with ham, pineapple, and olives.']"
619,3096,"['An old bedroom filled with very old furniture.', 'a room with a chair and dresser inside of it ', 'A view of a living room, with a couch up against the wall near two windows.', 'A room that has some very colorful carpeting. ', 'Room with patterned carpet and wallpaper and dark wood furnishings.']"
620,3101,"['A man sits in a diner photographing his meal', 'Photographer taking a picture of a meal in a small restaurant.', 'A man taking a photo of food on a table.', 'A man takes a picture of his food in a restaurant.', 'A man taking a picture of his meal at a diner table.']"
